File scaricato da https://support.microsoft.com/it-it/office/creare-una-previsione-in-excel-per-windows-22c500da-6da7-45e5-bfdc-60a7062329fd

Date;Airport Passengers
2009-01-01;2644539
2009-02-01;2359800
2009-03-01;2925918
2009-04-01;3024973
2009-05-01;3177100
2009-06-01;3419595
2009-07-01;3649702
2009-08-01;3650668
2009-09-01;3191526
2009-10-01;3249428
2009-11-01;2971484
2009-12-01;3074209
2010-01-01;2785466
2010-02-01;2515361
2010-03-01;3105958
2010-04-01;3139059
2010-05-01;3380355
2010-06-01;3612886
2010-07-01;3765824
2010-08-01;3771842
2010-09-01;3356365
2010-10-01;3490100
2010-11-01;3163659
2010-12-01;3167124
2011-01-01;2883810
2011-02-01;2610667
2011-03-01;3129205
2011-04-01;3200527
2011-05-01;3547804
2011-06-01;3766323
2011-07-01;3935589
2011-08-01;3917884
2011-09-01;3564970
2011-10-01;3602455
2011-11-01;3326859
2011-12-01;3441693
2012-01-01;3211600
2012-02-01;2998119
2012-03-01;3472440
2012-04-01;3563007
2012-05-01;3820570
2012-06-01;4107195
2012-07-01;4284443
2012-08-01;4356216
2012-09-01;3819379
2012-10-01;3844987
2012-11-01;3478890
2012-12-01;3443039
2013-01-01;3204637
2013-02-01;2966477
2013-03-01;3593364
2013-04-01;3604104
2013-05-01;3933016
2013-06-01;4146797
2013-07-01;4176486
2013-08-01;4347059
2013-09-01;3781168
2013-10-01;
2013-11-01;
2013-12-01;
2014-01-01;
2014-02-01;
2014-03-01;
